Date,Open,High,Low,Close,Adj Close,Volume
2016-08-01,50.263271,50.533974,47.246891,49.230000,47.594936,311305000
2016-09-01,47.469254,49.528515,46.773174,48.990002,47.362911,352176200
2016-10-01,47.786289,48.478565,45.621723,49.430000,48.195805,346811900
2016-11-01,48.059303,48.156803,44.198174,46.750000,45.582722,446429100
2016-12-01,45.202457,48.205551,44.890450,48.570000,47.357281,304553800
2017-01-01,47.746815,48.455639,47.106911,49.180000,48.416256,259847500
2017-02-01,48.160294,51.094017,47.441628,51.770000,50.966034,268516700
2017-03-01,50.237526,51.418888,49.715759,51.310001,50.513184,364318200
2017-04-01,50.897064,51.779900,50.420929,51.700001,51.283924,225978400
2017-05-01,51.402958,53.595173,50.658993,53.840000,53.406704,225486500
2017-06-01,53.267830,54.190346,52.841290,53.930000,53.495979,155649000
